nc_id,source_family,source_file,source_section_or_json_path,modal_strength,normative_clause,atomic_requirement,evidence_excerpt,extraction_rationale,lineage_status,predecessor_nc_ids,confidence
NC-0001,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/mentor_retrieval_contract,,"{""pipeline"": [""Authenticate request"", ""Resolve organization and user scope server-side"", ""Classify question intent"", ""Retrieve minimum relevant authorized context"", ""Filter candidate/unconfirmed facts"", ""Evaluate conflict and freshness states"", ""Build provenance-aware grounding bundle"", ""Generate answer"", ""Run groundedness/unsupported-claim checks"", ""Return answer with uncertainty disclosures when required""], ""forbidden"": [""Cross-tenant retrieval"", ""Treating CandidateFact as canonical truth"", ""Hiding unresolved conflict"", ""Presenting stale data as current without disclosure"", ""Inventing missing academic facts""]}","{""pipeline"": [""Authenticate request"", ""Resolve organization and user scope server-side"", ""Classify question intent"", ""Retrieve minimum relevant authorized context"", ""Filter candidate/unconfirmed facts"", ""Evaluate conflict and freshness states"", ""Build provenance-aware grounding bundle"", ""Generate answer"", ""Run groundedness/unsupported-claim checks"", ""Return answer with uncertainty disclosures when required""], ""forbidden"": [""Cross-tenant retrieval"", ""Treating CandidateFact as canonical truth"", ""Hiding unresolved conflict"", ""Presenting stale data as current without disclosure"", ""Inventing missing academic facts""]}","{""pipeline"": [""Authenticate request"", ""Resolve organization and user scope server-side"", ""Classify question intent"", ""Retrieve minimum relevant authorized context"", ""Filter candidate/unconfirmed facts",Extracted programmatically,NEW,,MEDIUM
NC-0002,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/mentor_retrieval_contract/forbidden[0],,Cross-tenant retrieval,Cross-tenant retrieval,Cross-tenant retrieval,Extracted programmatically,NEW,,MEDIUM
NC-0003,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/mentor_retrieval_contract/forbidden[1],,Treating CandidateFact as canonical truth,Treating CandidateFact as canonical truth,Treating CandidateFact as canonical truth,Extracted programmatically,NEW,,MEDIUM
NC-0004,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/mentor_retrieval_contract/forbidden[2],,Hiding unresolved conflict,Hiding unresolved conflict,Hiding unresolved conflict,Extracted programmatically,NEW,,MEDIUM
NC-0005,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/mentor_retrieval_contract/forbidden[3],,Presenting stale data as current without disclosure,Presenting stale data as current without disclosure,Presenting stale data as current without disclosure,Extracted programmatically,NEW,,MEDIUM
NC-0006,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/mentor_retrieval_contract/forbidden[4],,Inventing missing academic facts,Inventing missing academic facts,Inventing missing academic facts,Extracted programmatically,NEW,,MEDIUM
NC-0007,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[0],,"{""method"": ""GET"", ""path"": ""/api/me/context"", ""purpose"": ""Return authenticated identity and server-resolved organization scope.""}","{""method"": ""GET"", ""path"": ""/api/me/context"", ""purpose"": ""Return authenticated identity and server-resolved organization scope.""}","{""method"": ""GET"", ""path"": ""/api/me/context"", ""purpose"": ""Return authenticated identity and server-resolved organization scope.""}",Extracted programmatically,NEW,,MEDIUM
NC-0008,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[0]/method,,GET,GET,GET,Extracted programmatically,NEW,,MEDIUM
NC-0009,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[0]/path,,/api/me/context,/api/me/context,/api/me/context,Extracted programmatically,NEW,,MEDIUM
NC-0010,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[0]/purpose,,Return authenticated identity and server-resolved organization scope.,Return authenticated identity and server-resolved organization scope.,Return authenticated identity and server-resolved organization scope.,Extracted programmatically,NEW,,MEDIUM
NC-0011,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[10],,"{""method"": ""POST"", ""path"": ""/api/conflicts/:conflictId/resolve"", ""purpose"": ""Apply explicit resolution decision.""}","{""method"": ""POST"", ""path"": ""/api/conflicts/:conflictId/resolve"", ""purpose"": ""Apply explicit resolution decision.""}","{""method"": ""POST"", ""path"": ""/api/conflicts/:conflictId/resolve"", ""purpose"": ""Apply explicit resolution decision.""}",Extracted programmatically,NEW,,MEDIUM
NC-0012,Draft,Academic_Universe_MVP_Technical_Contract_v1.0_Draft.json,/minimum_api_contracts[10]/method,,POST,POST,POST,Extracted programmatically,NEW,,MEDIUM
